model_id,author,downloads,likes,pipeline_tag,library_name,created_at,last_modified,tags
google/vit-base-patch16-224-in21k,google,1849161,410,image-feature-extraction,transformers,2022-03-02 23:29:05+00:00,2024-02-05 16:37:39+00:00,"transformers,pytorch,tf,jax,safetensors,vit,image-feature-extraction,vision,dataset:imagenet-21k,arxiv:2010.11929,arxiv:2006.03677,license:apache-2.0,region:us"
Qwen/Qwen3-Embedding-8B,Qwen,1844805,700,feature-extraction,sentence-transformers,2025-06-03 14:39:10+00:00,2025-07-07 09:02:21+00:00,"sentence-transformers,safetensors,transformers,sentence-similarity,feature-extraction,text-embeddings-inference,arxiv:2506.05176,base_model:Qwen/Qwen3-8B-Base,base_model:finetune:Qwen/Qwen3-8B-Base,license:apache-2.0,endpoints_compatible,deploy:azure,region:us"
facebook/sam3,facebook,1844305,2182,mask-generation,transformers,2025-11-07 05:17:48+00:00,2025-11-20 22:05:08+00:00,"transformers,safetensors,sam3_video,feature-extraction,sam3,mask-generation,en,license:other,eval-results,endpoints_compatible,deploy:azure,region:us"
ibm-granite/granite-embedding-small-english-r2,ibm-granite,1840588,70,feature-extraction,sentence-transformers,2025-07-17 20:41:53+00:00,2026-01-21 18:38:43+00:00,"sentence-transformers,pytorch,safetensors,modernbert,feature-extraction,granite,embeddings,transformers,mteb,en,arxiv:2508.21085,license:apache-2.0,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us"
w11wo/indonesian-roberta-base-posp-tagger,w11wo,1838842,10,token-classification,transformers,2022-03-02 23:29:05+00:00,2024-02-19 11:03:26+00:00,"transformers,pytorch,tf,tensorboard,safetensors,roberta,token-classification,generated_from_trainer,ind,dataset:indonlu,base_model:flax-community/indonesian-roberta-base,base_model:finetune:flax-community/indonesian-roberta-base,license:mit,model-index,endpoints_compatible,region:us"
zai-org/GLM-5-FP8,zai-org,1832181,178,text-generation,transformers,2026-02-11 04:05:41+00:00,2026-04-05 07:51:12+00:00,"transformers,safetensors,glm_moe_dsa,text-generation,conversational,en,zh,arxiv:2602.15763,license:mit,eval-results,endpoints_compatible,fp8,region:us"
kyutai/mimi,kyutai,1827420,306,feature-extraction,transformers,2024-09-10 12:38:15+00:00,2025-07-02 15:23:37+00:00,"transformers,safetensors,mimi,feature-extraction,audio,license:cc-by-4.0,endpoints_compatible,region:us"
deepseek-ai/DeepSeek-OCR-2,deepseek-ai,1826461,981,image-text-to-text,transformers,2026-01-27 02:56:54+00:00,2026-02-03 00:33:19+00:00,"transformers,safetensors,deepseek_vl_v2,image-feature-extraction,deepseek,vision-language,ocr,custom_code,image-text-to-text,multilingual,arxiv:2601.20552,arxiv:2510.18234,license:apache-2.0,eval-results,region:us"
autogluon/chronos-2-small,autogluon,1808712,4,time-series-forecasting,chronos-forecasting,2025-12-03 10:53:00+00:00,2025-12-03 11:57:35+00:00,"chronos-forecasting,safetensors,t5,time series,forecasting,foundation models,pretrained models,time-series-forecasting,dataset:autogluon/chronos_datasets,dataset:Salesforce/GiftEvalPretrain,arxiv:2510.15821,license:apache-2.0,region:us"
E-MIMIC/inclusively-reformulation-it5,E-MIMIC,1802902,2,,transformers,2023-06-23 15:06:30+00:00,2025-06-25 11:16:45+00:00,"transformers,pytorch,safetensors,t5,text2text-generation,license:cc-by-nc-sa-4.0,text-generation-inference,endpoints_compatible,region:us"
facebook/wav2vec2-base,facebook,1794841,122,,transformers,2022-03-02 23:29:05+00:00,2021-12-28 12:44:31+00:00,"transformers,pytorch,wav2vec2,pretraining,speech,en,dataset:librispeech_asr,arxiv:2006.11477,license:apache-2.0,endpoints_compatible,region:us"
Qwen/Qwen3.5-27B-FP8,Qwen,1772380,135,image-text-to-text,transformers,2026-02-25 13:20:07+00:00,2026-04-24 02:38:46+00:00,"transformers,safetensors,qwen3_5,image-text-to-text,conversational,base_model:Qwen/Qwen3.5-27B,base_model:quantized:Qwen/Qwen3.5-27B,license:apache-2.0,endpoints_compatible,fp8,deploy:azure,region:us"
Lorbus/Qwen3.6-27B-int4-AutoRound,Lorbus,1761946,112,image-text-to-text,transformers,2026-04-22 19:51:06+00:00,2026-04-22 19:54:43+00:00,"transformers,safetensors,qwen3_5,image-text-to-text,autoround,int4,w4g128,w4a16,quantization,vllm,multimodal,mtp,speculative-decoding,conversational,arxiv:2309.05516,base_model:Qwen/Qwen3.6-27B,base_model:quantized:Qwen/Qwen3.6-27B,license:apache-2.0,endpoints_compatible,4-bit,auto-round,region:us"
Qwen/Qwen2.5-72B-Instruct-AWQ,Qwen,1752551,78,text-generation,transformers,2024-09-17 13:56:58+00:00,2024-10-09 12:27:10+00:00,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-72B-Instruct,base_model:quantized:Qwen/Qwen2.5-72B-Instruct,license:other,text-generation-inference,endpoints_compatible,4-bit,awq,region:us"
neuralmind/bert-large-portuguese-cased,neuralmind,1749083,73,fill-mask,transformers,2022-03-02 23:29:05+00:00,2021-05-20 01:31:09+00:00,"transformers,pytorch,jax,bert,fill-mask,pt,dataset:brWaC,license:mit,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen3-8B-AWQ,Qwen,1695206,45,text-generation,transformers,2025-05-03 03:20:49+00:00,2025-05-21 06:09:42+00:00,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-8B,base_model:quantized:Qwen/Qwen3-8B,license:apache-2.0,text-generation-inference,endpoints_compatible,4-bit,awq,region:us"
timm/resnet18.a1_in1k,timm,1694818,14,image-classification,timm,2023-04-05 18:02:50+00:00,2025-01-21 21:13:50+00:00,"timm,pytorch,safetensors,image-classification,transformers,arxiv:2110.00476,arxiv:1512.03385,license:apache-2.0,region:us"
cyankiwi/Qwen3.6-27B-AWQ-INT4,cyankiwi,1691250,78,image-text-to-text,transformers,2026-04-22 18:53:06+00:00,2026-04-30 21:33:50+00:00,"transformers,safetensors,qwen3_5,image-text-to-text,conversational,base_model:Qwen/Qwen3.6-27B,base_model:quantized:Qwen/Qwen3.6-27B,license:apache-2.0,endpoints_compatible,compressed-tensors,region:us"
google/gemma-3-1b-it,google,1690115,1001,text-generation,transformers,2025-03-10 12:09:00+00:00,2025-04-04 13:12:40+00:00,"transformers,safetensors,gemma3_text,text-generation,conversational,arxiv:1905.07830,arxiv:1905.10044,arxiv:1911.11641,arxiv:1904.09728,arxiv:1705.03551,arxiv:1911.01547,arxiv:1907.10641,arxiv:1903.00161,arxiv:2009.03300,arxiv:2304.06364,arxiv:2103.03874,arxiv:2110.14168,arxiv:2311.12022,arxiv:2108.07732,arxiv:2107.03374,arxiv:2210.03057,arxiv:2106.03193,arxiv:1910.11856,arxiv:2502.12404,arxiv:2502.21228,arxiv:2404.16816,arxiv:2104.12756,arxiv:2311.16502,arxiv:2203.10244,arxiv:2404.12390,arxiv:1810.12440,arxiv:1908.02660,arxiv:2312.11805,base_model:google/gemma-3-1b-pt,base_model:finetune:google/gemma-3-1b-pt,license:gemma,eval-results,text-generation-inference,endpoints_compatible,region:us"
Kijai/LTX2.3_comfy,Kijai,1683433,461,,diffusion-single-file,2026-03-05 15:20:18+00:00,2026-06-05 12:33:09+00:00,"diffusion-single-file,comfyui,base_model:Lightricks/LTX-2.3,base_model:finetune:Lightricks/LTX-2.3,license:other,region:us"
facebook/dinov2-base,facebook,1680551,181,image-feature-extraction,transformers,2023-07-17 16:44:29+00:00,2024-01-17 08:27:01+00:00,"transformers,pytorch,safetensors,dinov2,image-feature-extraction,dino,vision,arxiv:2304.07193,license:apache-2.0,region:us"
stable-diffusion-v1-5/stable-diffusion-v1-5,stable-diffusion-v1-5,1675494,1146,text-to-image,diffusers,2024-08-30 09:48:48+00:00,2024-09-07 16:20:30+00:00,"diffusers,safetensors,stable-diffusion,stable-diffusion-diffusers,text-to-image,arxiv:2207.12598,arxiv:2112.10752,arxiv:2103.00020,arxiv:2205.11487,arxiv:1910.09700,license:creativeml-openrail-m,region:us"
ResembleAI/chatterbox,ResembleAI,1673142,1610,text-to-speech,chatterbox,2025-04-24 12:03:33+00:00,2026-06-10 16:16:45+00:00,"chatterbox,text-to-speech,speech,speech-generation,voice-cloning,multilingual-tts,ar,da,de,el,en,es,fi,fr,he,hi,it,ja,ko,ms,nl,no,pl,pt,ru,sv,sw,tr,zh,license:mit,region:us"
CIDAS/clipseg-rd64-refined,CIDAS,1670202,140,image-segmentation,transformers,2022-11-01 14:25:57+00:00,2024-12-11 09:46:10+00:00,"transformers,pytorch,safetensors,clipseg,vision,image-segmentation,arxiv:2112.10003,license:apache-2.0,region:us"
google/embeddinggemma-300m,google,1669852,1706,sentence-similarity,sentence-transformers,2025-07-17 19:53:55+00:00,2025-09-25 15:11:17+00:00,"sentence-transformers,safetensors,gemma3_text,sentence-similarity,feature-extraction,text-embeddings-inference,arxiv:2509.20354,license:gemma,eval-results,endpoints_compatible,region:us"
llamafactory/tiny-random-Llama-3,llamafactory,1668001,3,text-generation,transformers,2024-06-07 17:30:09+00:00,2025-02-11 16:15:07+00:00,"transformers,safetensors,llama,text-generation,conversational,license:apache-2.0,text-generation-inference,region:us"
jonatasgrosman/wav2vec2-large-xlsr-53-polish,jonatasgrosman,1663543,12,automatic-speech-recognition,transformers,2022-03-02 23:29:05+00:00,2022-12-14 01:57:56+00:00,"transformers,pytorch,jax,wav2vec2,automatic-speech-recognition,audio,hf-asr-leaderboard,mozilla-foundation/common_voice_6_0,pl,robust-speech-event,speech,xlsr-fine-tuning-week,dataset:common_voice,dataset:mozilla-foundation/common_voice_6_0,doi:10.57967/hf/3574,license:apache-2.0,model-index,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen3.5-2B,Qwen,1662918,302,image-text-to-text,transformers,2026-02-28 23:56:16+00:00,2026-03-02 11:26:29+00:00,"transformers,safetensors,qwen3_5,image-text-to-text,conversational,base_model:Qwen/Qwen3.5-2B-Base,base_model:finetune:Qwen/Qwen3.5-2B-Base,license:apache-2.0,eval-results,endpoints_compatible,deploy:azure,region:us"
facebook/esm2_t12_35M_UR50D,facebook,1653094,23,fill-mask,transformers,2022-09-27 14:30:05+00:00,2023-03-21 15:04:57+00:00,"transformers,pytorch,tf,safetensors,esm,fill-mask,license:mit,endpoints_compatible,deploy:azure,region:us"
microsoft/table-transformer-detection,microsoft,1650248,424,object-detection,transformers,2022-10-14 09:14:13+00:00,2023-09-06 14:49:09+00:00,"transformers,pytorch,safetensors,table-transformer,object-detection,arxiv:2110.00061,license:mit,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen2-VL-7B-Instruct,Qwen,1639773,1280,image-text-to-text,transformers,2024-08-28 09:03:13+00:00,2025-02-06 05:18:08+00:00,"transformers,safetensors,qwen2_vl,image-text-to-text,multimodal,conversational,en,arxiv:2409.12191,arxiv:2308.12966,base_model:Qwen/Qwen2-VL-7B,base_model:finetune:Qwen/Qwen2-VL-7B,license:apache-2.0,eval-results,text-generation-inference,endpoints_compatible,deploy:azure,region:us"
moonshotai/Kimi-K2.5,moonshotai,1638464,2816,image-text-to-text,transformers,2026-01-01 06:06:03+00:00,2026-04-30 03:56:40+00:00,"transformers,safetensors,kimi_k25,image-feature-extraction,compressed-tensors,image-text-to-text,conversational,custom_code,arxiv:2602.02276,license:other,eval-results,region:us"
Qwen/Qwen3-VL-235B-A22B-Instruct,Qwen,1632221,392,image-text-to-text,transformers,2025-09-22 03:54:32+00:00,2025-11-26 13:18:18+00:00,"transformers,safetensors,qwen3_vl_moe,image-text-to-text,conversational,arxiv:2505.09388,arxiv:2502.13923,arxiv:2409.12191,arxiv:2308.12966,license:apache-2.0,endpoints_compatible,deploy:azure,region:us"
Xenova/bge-base-en-v1.5,Xenova,1630491,9,feature-extraction,transformers.js,2023-09-13 15:48:03+00:00,2025-07-29 21:44:26+00:00,"transformers.js,onnx,bert,feature-extraction,base_model:BAAI/bge-base-en-v1.5,base_model:quantized:BAAI/bge-base-en-v1.5,license:mit,region:us"
distilbert/distilroberta-base,distilbert,1624869,177,fill-mask,transformers,2022-03-02 23:29:04+00:00,2024-02-19 11:09:58+00:00,"transformers,pytorch,tf,jax,rust,safetensors,roberta,fill-mask,exbert,en,dataset:openwebtext,arxiv:1910.01108,arxiv:1910.09700,license:apache-2.0,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen3-VL-Embedding-8B,Qwen,1586017,431,sentence-similarity,sentence-transformers,2026-01-07 03:02:55+00:00,2026-04-16 08:55:18+00:00,"sentence-transformers,safetensors,qwen3_vl,image-text-to-text,transformers,multimodal embedding,qwen,embedding,sentence-similarity,arxiv:2601.04720,base_model:Qwen/Qwen3-VL-8B-Instruct,base_model:finetune:Qwen/Qwen3-VL-8B-Instruct,license:apache-2.0,endpoints_compatible,region:us"
facebook/m2m100_1.2B,facebook,1579756,202,,transformers,2022-03-02 23:29:05+00:00,2023-11-16 14:52:48+00:00,"transformers,pytorch,rust,m2m_100,text2text-generation,multilingual,af,am,ar,ast,az,ba,be,bg,bn,br,bs,ca,ceb,cs,cy,da,de,el,en,es,et,fa,ff,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,ht,hu,hy,id,ig,ilo,is,it,ja,jv,ka,kk,km,kn,ko,lb,lg,ln,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,ns,oc,or,pa,pl,ps,pt,ro,ru,sd,si,sk,sl,so,sq,sr,ss,su,sv,sw,ta,th,tl,tn,tr,uk,ur,uz,vi,wo,xh,yi,yo,zh,zu,arxiv:2010.11125,license:mit,endpoints_compatible,deploy:azure,region:us"
HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB,1579470,341,text-generation,transformers,2024-10-31 13:41:10+00:00,2025-09-22 20:43:15+00:00,"transformers,tensorboard,onnx,safetensors,llama,text-generation,transformers.js,conversational,en,arxiv:2502.02737,base_model:HuggingFaceTB/SmolLM2-135M,base_model:quantized:HuggingFaceTB/SmolLM2-135M,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us"
unsloth/gemma-4-26B-A4B-it-GGUF,unsloth,1573944,849,image-text-to-text,,2026-04-01 14:42:29+00:00,2026-06-09 14:49:06+00:00,"gguf,gemma4,unsloth,gemma,google,image-text-to-text,base_model:google/gemma-4-26B-A4B-it,base_model:quantized:google/gemma-4-26B-A4B-it,license:apache-2.0,endpoints_compatible,region:us,imatrix,conversational"
Qwen/Qwen3-Omni-30B-A3B-Instruct,Qwen,1572559,936,any-to-any,transformers,2025-09-20 03:16:00+00:00,2025-09-22 14:17:52+00:00,"transformers,safetensors,qwen3_omni_moe,text-to-audio,multimodal,any-to-any,en,license:other,endpoints_compatible,region:us"
facebook/bart-large-cnn,facebook,1570949,1588,summarization,transformers,2022-03-02 23:29:05+00:00,2024-02-13 18:02:05+00:00,"transformers,pytorch,tf,jax,rust,safetensors,bart,text2text-generation,summarization,en,dataset:cnn_dailymail,arxiv:1910.13461,license:mit,model-index,endpoints_compatible,deploy:azure,region:us"
cambridgeltl/SapBERT-from-PubMedBERT-fulltext,cambridgeltl,1567544,70,feature-extraction,transformers,2022-03-02 23:29:05+00:00,2023-06-14 19:03:02+00:00,"transformers,pytorch,tf,jax,safetensors,bert,feature-extraction,biomedical,lexical semantics,bionlp,biology,science,embedding,entity linking,en,arxiv:2010.11784,license:apache-2.0,endpoints_compatible,region:us"
google/gemma-3-4b-it,google,1562946,1360,image-text-to-text,transformers,2025-02-20 21:20:07+00:00,2025-03-21 20:20:53+00:00,"transformers,safetensors,gemma3,image-text-to-text,conversational,arxiv:1905.07830,arxiv:1905.10044,arxiv:1911.11641,arxiv:1904.09728,arxiv:1705.03551,arxiv:1911.01547,arxiv:1907.10641,arxiv:1903.00161,arxiv:2009.03300,arxiv:2304.06364,arxiv:2103.03874,arxiv:2110.14168,arxiv:2311.12022,arxiv:2108.07732,arxiv:2107.03374,arxiv:2210.03057,arxiv:2106.03193,arxiv:1910.11856,arxiv:2502.12404,arxiv:2502.21228,arxiv:2404.16816,arxiv:2104.12756,arxiv:2311.16502,arxiv:2203.10244,arxiv:2404.12390,arxiv:1810.12440,arxiv:1908.02660,arxiv:2312.11805,base_model:google/gemma-3-4b-pt,base_model:finetune:google/gemma-3-4b-pt,license:gemma,eval-results,text-generation-inference,endpoints_compatible,region:us"
jinaai/jina-reranker-v2-base-multilingual,jinaai,1555652,351,text-ranking,transformers,2024-06-19 09:37:19+00:00,2025-10-21 05:59:46+00:00,"transformers,pytorch,onnx,safetensors,text-classification,reranker,cross-encoder,transformers.js,sentence-transformers,text-ranking,custom_code,multilingual,license:cc-by-nc-4.0,region:eu"
Qwen/Qwen2.5-Coder-32B-Instruct,Qwen,1544780,2039,text-generation,transformers,2024-11-06 07:49:50+00:00,2025-01-12 02:02:22+00:00,"transformers,safetensors,qwen2,text-generation,code,codeqwen,chat,qwen,qwen-coder,conversational,en,arxiv:2409.12186,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-Coder-32B,base_model:finetune:Qwen/Qwen2.5-Coder-32B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen3-14B,Qwen,1541822,406,text-generation,transformers,2025-04-27 03:42:45+00:00,2025-07-26 03:49:23+00:00,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-14B-Base,base_model:finetune:Qwen/Qwen3-14B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us"
BAAI/bge-reranker-large,BAAI,1541413,464,feature-extraction,transformers,2023-09-12 07:39:18+00:00,2024-05-11 13:39:02+00:00,"transformers,pytorch,onnx,safetensors,xlm-roberta,text-classification,mteb,feature-extraction,en,zh,arxiv:2401.03462,arxiv:2312.15503,arxiv:2311.13534,arxiv:2310.07554,arxiv:2309.07597,license:mit,model-index,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us"
OpenGVLab/InternVL2-2B,OpenGVLab,1538400,80,image-text-to-text,transformers,2024-06-27 09:59:37+00:00,2025-03-25 05:55:24+00:00,"transformers,safetensors,internvl_chat,image-feature-extraction,internvl,custom_code,image-text-to-text,conversational,multilingual,arxiv:2312.14238,arxiv:2404.16821,arxiv:2410.16261,arxiv:2412.05271,base_model:OpenGVLab/InternViT-300M-448px,base_model:merge:OpenGVLab/InternViT-300M-448px,base_model:internlm/internlm2-chat-1_8b,base_model:merge:internlm/internlm2-chat-1_8b,license:mit,region:us"
WhereIsAI/UAE-Large-V1,WhereIsAI,1531311,237,feature-extraction,sentence-transformers,2023-12-04 02:03:27+00:00,2025-07-29 13:33:12+00:00,"sentence-transformers,onnx,safetensors,openvino,bert,feature-extraction,mteb,sentence_embedding,feature_extraction,transformers,transformers.js,en,arxiv:2309.12871,license:mit,model-index,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen2-VL-7B-Instruct-AWQ,Qwen,1530834,49,image-text-to-text,transformers,2024-08-29 02:42:15+00:00,2024-09-25 12:32:39+00:00,"transformers,safetensors,qwen2_vl,image-text-to-text,multimodal,conversational,en,arxiv:2409.12191,arxiv:2308.12966,base_model:Qwen/Qwen2-VL-7B-Instruct,base_model:quantized:Qwen/Qwen2-VL-7B-Instruct,license:apache-2.0,text-generation-inference,endpoints_compatible,4-bit,awq,deploy:azure,region:us"
intfloat/multilingual-e5-large-instruct,intfloat,1529146,624,feature-extraction,sentence-transformers,2024-02-08 12:59:32+00:00,2025-07-10 10:12:37+00:00,"sentence-transformers,onnx,safetensors,xlm-roberta,feature-extraction,mteb,transformers,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:2402.05672,arxiv:2401.00368,arxiv:2104.08663,arxiv:2210.07316,license:mit,model-index,text-embeddings-inference,endpoints_compatible,region:us"
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP,1525794,236,sentence-similarity,transformers,2024-04-20 02:54:30+00:00,2024-08-09 03:32:05+00:00,"transformers,onnx,safetensors,new,image-feature-extraction,sentence-transformers,gte,mteb,transformers.js,sentence-similarity,custom_code,en,dataset:allenai/c4,arxiv:2407.19669,arxiv:2308.03281,license:apache-2.0,model-index,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us"
openvla/openvla-7b,openvla,1520761,226,robotics,transformers,2024-06-10 16:35:59+00:00,2026-02-17 03:43:23+00:00,"transformers,safetensors,openvla,feature-extraction,robotics,vla,image-text-to-text,multimodal,pretraining,custom_code,en,arxiv:2406.09246,license:mit,region:us"
usyd-community/vitpose-plus-base,usyd-community,1520065,32,keypoint-detection,transformers,2025-01-08 12:42:22+00:00,2025-01-08 12:42:35+00:00,"transformers,safetensors,vitpose,keypoint-detection,en,arxiv:2204.12484,license:apache-2.0,endpoints_compatible,region:us"
depth-anything/Depth-Anything-V2-Small-hf,depth-anything,1518295,37,depth-estimation,transformers,2024-06-18 10:01:15+00:00,2024-07-05 11:38:31+00:00,"transformers,safetensors,depth_anything,depth-estimation,depth,relative depth,arxiv:2406.09414,arxiv:2401.10891,license:apache-2.0,endpoints_compatible,region:us"
mistralai/Mistral-7B-Instruct-v0.2,mistralai,1507651,3157,text-generation,transformers,2023-12-11 13:18:44+00:00,2025-07-24 16:57:21+00:00,"transformers,pytorch,safetensors,mistral,text-generation,finetuned,mistral-common,conversational,arxiv:2310.06825,license:apache-2.0,eval-results,text-generation-inference,deploy:azure,region:us"
Qwen/Qwen3-ASR-1.7B,Qwen,1506267,870,automatic-speech-recognition,,2026-01-28 03:22:40+00:00,2026-01-30 03:00:12+00:00,"safetensors,qwen3_asr,automatic-speech-recognition,arxiv:2601.21337,license:apache-2.0,eval-results,deploy:azure,region:us"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,nvidia,1498910,346,text-generation,transformers,2026-03-10 18:33:04+00:00,2026-05-01 16:54:19+00:00,"transformers,safetensors,nemotron_h,text-generation,nvidia,pytorch,nemotron-3,latent-moe,mtp,conversational,custom_code,en,fr,es,it,de,ja,zh,dataset:nvidia/nemotron-post-training-v3,dataset:nvidia/nemotron-pre-training-datasets,arxiv:2512.20848,arxiv:2512.20856,license:other,endpoints_compatible,8-bit,modelopt,region:us"
SulphurAI/Sulphur-2-base,SulphurAI,1498587,1621,text-to-video,diffusers,2026-05-03 00:33:24+00:00,2026-06-04 16:15:44+00:00,"diffusers,gguf,text-to-video,base_model:Lightricks/LTX-2.3,base_model:quantized:Lightricks/LTX-2.3,endpoints_compatible,region:us,conversational"
nvidia/Qwen3.6-35B-A3B-NVFP4,nvidia,1498386,208,text-generation,Model Optimizer,2026-05-27 18:09:46+00:00,2026-05-29 19:10:41+00:00,"Model Optimizer,safetensors,qwen3_5_moe,nvidia,ModelOpt,Qwen3.6,quantized,FP4,fp4,text-generation,conversational,base_model:Qwen/Qwen3.6-35B-A3B,base_model:quantized:Qwen/Qwen3.6-35B-A3B,license:apache-2.0,8-bit,modelopt,deploy:azure,region:us"
google/flan-t5-base,google,1496677,1082,,transformers,2022-10-21 10:02:31+00:00,2023-07-17 12:48:39+00:00,"transformers,pytorch,tf,jax,safetensors,t5,text2text-generation,en,fr,ro,de,multilingual,dataset:svakulenk0/qrecc,dataset:taskmaster2,dataset:djaym7/wiki_dialog,dataset:deepmind/code_contests,dataset:lambada,dataset:gsm8k,dataset:aqua_rat,dataset:esnli,dataset:quasc,dataset:qed,arxiv:2210.11416,arxiv:1910.09700,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us"
allenai/longformer-base-4096,allenai,1492779,227,,transformers,2022-03-02 23:29:05+00:00,2023-04-05 18:24:00+00:00,"transformers,pytorch,tf,rust,longformer,en,arxiv:2004.05150,license:apache-2.0,endpoints_compatible,region:us"
Qwen/Qwen3.5-35B-A3B-FP8,Qwen,1491601,151,image-text-to-text,transformers,2026-02-25 13:34:21+00:00,2026-04-24 02:38:49+00:00,"transformers,safetensors,qwen3_5_moe,image-text-to-text,conversational,base_model:Qwen/Qwen3.5-35B-A3B,base_model:quantized:Qwen/Qwen3.5-35B-A3B,license:apache-2.0,endpoints_compatible,fp8,deploy:azure,region:us"
FinLang/finance-embeddings-investopedia,FinLang,1486709,65,sentence-similarity,sentence-transformers,2024-04-22 15:45:42+00:00,2024-04-30 10:08:41+00:00,"sentence-transformers,safetensors,bert,feature-extraction,sentence-similarity,license:cc-by-nc-4.0,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us"
facebook/esmfold_v1,facebook,1474219,50,,transformers,2022-11-01 18:24:14+00:00,2023-03-22 17:39:28+00:00,"transformers,pytorch,esm,license:mit,endpoints_compatible,region:us"
apple/OpenELM-1_1B-Instruct,apple,1474161,75,text-generation,transformers,2024-04-12 21:52:12+00:00,2025-02-28 18:31:24+00:00,"transformers,safetensors,openelm,text-generation,custom_code,arxiv:2404.14619,license:apple-amlr,region:us"
meta-llama/Llama-3.2-3B-Instruct,meta-llama,1472295,2216,text-generation,transformers,2024-09-18 15:19:20+00:00,2024-10-24 15:07:29+00:00,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,arxiv:2405.16406,license:llama3.2,text-generation-inference,endpoints_compatible,region:us"
hustvl/vitmatte-small-composition-1k,hustvl,1466883,54,,transformers,2023-09-10 07:47:27+00:00,2024-03-29 08:01:59+00:00,"transformers,pytorch,safetensors,vitmatte,vision,arxiv:2305.15272,license:apache-2.0,endpoints_compatible,region:us"
unsloth/Qwen3.6-35B-A3B-GGUF,unsloth,1452636,1201,image-text-to-text,transformers,2026-04-16 04:31:31+00:00,2026-04-20 12:42:25+00:00,"transformers,gguf,unsloth,qwen,qwen3_5_moe,image-text-to-text,base_model:Qwen/Qwen3.6-35B-A3B,base_model:quantized:Qwen/Qwen3.6-35B-A3B,license:apache-2.0,endpoints_compatible,deploy:azure,region:us,imatrix,conversational"
Qwen/Qwen2.5-Omni-3B,Qwen,1448841,336,any-to-any,transformers,2025-04-30 03:22:47+00:00,2025-04-30 04:01:19+00:00,"transformers,safetensors,qwen2_5_omni,multimodal,any-to-any,en,arxiv:2503.20215,license:other,endpoints_compatible,region:us"
Qwen/Qwen2.5-14B-Instruct-AWQ,Qwen,1443656,36,text-generation,transformers,2024-09-17 13:55:22+00:00,2024-10-09 12:26:42+00:00,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-14B-Instruct,base_model:quantized:Qwen/Qwen2.5-14B-Instruct,license:apache-2.0,text-generation-inference,endpoints_compatible,4-bit,awq,region:us"
nvidia/bigvgan_v2_22khz_80band_256x,nvidia,1441902,29,audio-to-audio,PyTorch,2024-07-15 14:07:18+00:00,2024-09-05 03:36:23+00:00,"PyTorch,neural-vocoder,audio-generation,audio-to-audio,arxiv:2206.04658,license:mit,region:us"
facebook/musicgen-medium,facebook,1438497,162,text-to-audio,transformers,2023-06-08 17:28:18+00:00,2023-11-17 15:25:23+00:00,"transformers,pytorch,musicgen,text-to-audio,arxiv:2306.05284,license:cc-by-nc-4.0,endpoints_compatible,region:us"
