full_name,description,stargazers_count,forks_count,language,topics,html_url,created_at,updated_at
danny-avila/LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active",38826,7970,TypeScript,"['ai', 'anthropic', 'artifacts', 'aws', 'azure', 'chatgpt', 'chatgpt-clone', 'claude', 'clone', 'deepseek', 'gemini', 'google', 'gpt-5', 'librechat', 'mcp', 'o1', 'openai', 'responses-api', 'vision', 'webui']",https://github.com/danny-avila/LibreChat,2023-02-12T01:06:52Z,2026-06-10T20:06:36Z
RSSNext/Folo,🧡 Folo is the AI RSS Reader,38449,2085,TypeScript,"['ai', 'reader', 'rss', 'rss-reader', 'rsshub']",https://github.com/RSSNext/Folo,2024-04-08T03:23:35Z,2026-06-10T20:06:23Z
google-research/google-research,Google Research,38114,8426,Jupyter Notebook,"['ai', 'machine-learning', 'research']",https://github.com/google-research/google-research,2018-10-04T18:42:48Z,2026-06-10T20:25:00Z
LAION-AI/Open-Assistant,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",37398,3281,Python,"['ai', 'assistant', 'chatgpt', 'discord-bot', 'language-model', 'machine-learning', 'nextjs', 'python', 'rlhf']",https://github.com/LAION-AI/Open-Assistant,2022-12-13T05:24:17Z,2026-06-10T17:07:23Z
babysor/MockingBird,🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time,36902,5209,Python,"['ai', 'deep-learning', 'pytorch', 'speech', 'text-to-speech', 'tts']",https://github.com/babysor/MockingBird,2021-08-07T03:53:39Z,2026-06-10T16:05:00Z
reworkd/AgentGPT,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.",36177,9329,TypeScript,"['agent', 'agentgpt', 'agents', 'agi', 'ai', 'ai-agents', 'autogpt', 'baby-agi', 'gpt', 'langchain', 'llm', 'next', 'openai', 't3', 't3-stack']",https://github.com/reworkd/AgentGPT,2023-04-07T02:29:19Z,2026-06-10T19:24:32Z
patchy631/ai-engineering-hub,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications.",35668,5903,Jupyter Notebook,"['agents', 'ai', 'llms', 'machine-learning', 'mcp', 'rag']",https://github.com/patchy631/ai-engineering-hub,2024-10-21T10:43:24Z,2026-06-10T20:21:39Z
khoj-ai/khoj,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.",35057,2238,Python,"['agent', 'ai', 'assistant', 'chat', 'chatgpt', 'emacs', 'image-generation', 'llama3', 'llamacpp', 'llm', 'obsidian', 'obsidian-md', 'offline-llm', 'productivity', 'rag', 'research', 'self-hosted', 'semantic-search', 'stt', 'whatsapp-ai']",https://github.com/khoj-ai/khoj,2021-08-16T01:48:44Z,2026-06-10T20:01:36Z
github/awesome-copilot,"Community-contributed instructions, agents, skills, and configurations to help you make the most of GitHub Copilot.",34779,4272,Python,"['agent-skills', 'agents', 'ai', 'awesome', 'custom-agents', 'github-copilot', 'hacktoberfest', 'prompt-engineering']",https://github.com/github/awesome-copilot,2025-06-11T16:57:39Z,2026-06-10T19:51:36Z
CopilotKit/CopilotKit,"The Frontend Stack for Agents & Generative UI. React, Angular, Mobile, Slack, and more.  Makers of the AG-UI Protocol",34590,4328,TypeScript,"['agent', 'agent-native', 'agentic-ai', 'agents', 'ai', 'ai-agent', 'ai-assistant', 'assistant', 'assistant-chat-bots', 'copilot', 'copilot-chat', 'generative-ui', 'js', 'llm', 'nextjs', 'open-source', 'react', 'reactjs', 'ts', 'typescript']",https://github.com/CopilotKit/CopilotKit,2023-06-19T04:08:31Z,2026-06-10T20:25:53Z
AstrBotDevs/AstrBot,"AI Agent Assistant & development framework that integrates lots of IM platforms, LLMs, plugins and AI feature, and can be your openclaw alternative. ✨",34381,2359,Python,"['agent', 'ai', 'chatbot', 'chatgpt', 'discord', 'docker', 'gemini', 'gpt', 'llama', 'llm', 'mcp', 'openai', 'python', 'qq', 'qqbot', 'telegram']",https://github.com/AstrBotDevs/AstrBot,2022-12-08T13:27:46Z,2026-06-10T20:06:02Z
langchain-ai/langgraph,Build resilient agents.,34368,5775,Python,"['agents', 'ai', 'ai-agents', 'chatgpt', 'deepagents', 'enterprise', 'framework', 'gemini', 'generative-ai', 'langchain', 'langgraph', 'llm', 'multiagent', 'open-source', 'openai', 'pydantic', 'python', 'rag']",https://github.com/langchain-ai/langgraph,2023-08-09T18:33:12Z,2026-06-10T20:11:45Z
xitu/gold-miner,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：,34311,5004,,"['ai', 'android', 'frontend', 'ios', 'javascript', 'react', 'swift', 'tensorflow', 'translation', 'tutorials']",https://github.com/xitu/gold-miner,2015-11-04T03:29:13Z,2026-06-10T15:14:51Z
Pythagora-io/gpt-pilot,The first real AI developer,33743,3491,Python,"['ai', 'codegen', 'coding-assistant', 'developer-tools', 'gpt-4', 'research-project']",https://github.com/Pythagora-io/gpt-pilot,2023-08-16T11:56:07Z,2026-06-10T17:27:15Z
blakeblackshear/frigate,NVR with realtime local object detection for IP cameras,33658,3270,TypeScript,"['ai', 'camera', 'google-coral', 'home-assistant', 'home-automation', 'homeautomation', 'mqtt', 'nvr', 'object-detection', 'realtime', 'rtsp', 'tensorflow']",https://github.com/blakeblackshear/frigate,2019-01-26T13:52:38Z,2026-06-10T19:14:24Z
explosion/spaCy,💫 Industrial-strength Natural Language Processing (NLP) in Python,33646,4687,Python,"['ai', 'artificial-intelligence', 'cython', 'data-science', 'deep-learning', 'entity-linking', 'machine-learning', 'named-entity-recognition', 'natural-language-processing', 'neural-network', 'neural-networks', 'nlp', 'nlp-library', 'python', 'spacy', 'text-classification', 'tokenization']",https://github.com/explosion/spaCy,2014-07-03T15:15:40Z,2026-06-10T17:08:31Z
continuedev/continue,"⏩ Source-controlled AI checks, enforceable in CI. Powered by the open-source Continue CLI",33642,4636,TypeScript,"['agent', 'ai', 'cli', 'developer-tools', 'jetbrains-plugin', 'llm', 'open-source', 'vs-code-extenstion']",https://github.com/continuedev/continue,2023-05-24T03:39:39Z,2026-06-10T18:56:29Z
TabbyML/tabby,Self-hosted AI coding assistant,33581,1750,Rust,"['ai', 'codegen', 'coding-assistant', 'coding-language', 'developer-experience', 'developer-tools', 'gen-ai', 'ide', 'llms']",https://github.com/TabbyML/tabby,2023-03-16T09:18:01Z,2026-06-10T18:16:50Z
lutzroeder/netron,"Visualizer for neural network, deep learning and machine learning models",33060,3127,JavaScript,"['ai', 'coreml', 'deep-learning', 'deeplearning', 'keras', 'machine-learning', 'machinelearning', 'ml', 'neural-network', 'numpy', 'onnx', 'pytorch', 'safetensors', 'tensorflow', 'tensorflow-lite', 'visualizer']",https://github.com/lutzroeder/netron,2010-12-26T12:53:43Z,2026-06-10T17:54:17Z
VectifyAI/PageIndex,"📑 PageIndex: Document Index for Vectorless, Reasoning-based RAG",32850,2850,Python,"['agentic-ai', 'agents', 'ai', 'ai-agents', 'context-engineering', 'information-retrieval', 'llm', 'rag', 'reasoning', 'retrieval', 'retrieval-augmented-generation', 'vector-database']",https://github.com/VectifyAI/PageIndex,2025-04-01T10:53:54Z,2026-06-10T19:48:47Z
zeroclaw-labs/zeroclaw,"Fast, small, and fully autonomous AI personal assistant infrastructure, any OS, any platform — deploy anywhere, swap anything 🦀",31862,4713,Rust,"['agent', 'agentic', 'ai', 'infra', 'ml', 'openclaw', 'os', 'zeroclaw']",https://github.com/zeroclaw-labs/zeroclaw,2026-02-13T08:56:04Z,2026-06-10T20:12:37Z
DayuanJiang/next-ai-draw-io,"A next.js web application that integrates AI capabilities with draw.io diagrams. This app allows you to create, modify, and enhance diagrams through natural language commands and AI-assisted visualization.",31762,3319,TypeScript,"['ai', 'diagrams', 'productivity']",https://github.com/DayuanJiang/next-ai-draw-io,2025-03-23T15:03:48Z,2026-06-10T17:26:08Z
Lightning-AI/pytorch-lightning,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",31178,3735,Python,"['ai', 'artificial-intelligence', 'data-science', 'deep-learning', 'machine-learning', 'python', 'pytorch']",https://github.com/Lightning-AI/pytorch-lightning,2019-03-31T00:45:57Z,2026-06-10T19:42:11Z
AMAI-GmbH/AI-Expert-Roadmap,Roadmap to becoming an Artificial Intelligence Expert in 2022,31075,2579,JavaScript,"['ai', 'ai-roadmap', 'artificial-intelligence', 'data-analysis', 'data-science', 'deep-learning', 'machine-learning', 'neural-network', 'roadmap', 'study-plan']",https://github.com/AMAI-GmbH/AI-Expert-Roadmap,2020-10-24T21:49:40Z,2026-06-10T18:05:38Z
rohitg00/ai-engineering-from-scratch,Learn it. Build it. Ship it for others.,31018,5063,Python,"['agents', 'ai', 'ai-agents', 'ai-engineering', 'computer-vision', 'course', 'deep-learning', 'from-scratch', 'generative-ai', 'llm', 'machine-learning', 'mcp', 'nlp', 'python', 'reinforcement-learning', 'rust', 'swarm-intelligence', 'transformers', 'tutorial', 'typescript']",https://github.com/rohitg00/ai-engineering-from-scratch,2026-03-18T18:38:02Z,2026-06-10T20:19:50Z
onyx-dot-app/onyx,Open Source AI Platform - AI Chat with advanced features that works with every LLM,30227,4129,Python,"['ai', 'ai-chat', 'chatgpt', 'chatui', 'enterprise-search', 'gen-ai', 'information-retrieval', 'llm', 'llm-ui', 'nextjs', 'python', 'rag', 'self-hosted', 'vector-search']",https://github.com/onyx-dot-app/onyx,2023-04-27T06:04:01Z,2026-06-10T20:13:17Z
jamiepine/voicebox,"The open-source AI voice studio. Clone, dictate, create.",29698,3649,TypeScript,"['ai', 'cuda', 'mlx', 'qwen3-tts', 'qwen3-tts-ui', 'voice-ai', 'voice-clone', 'whisper']",https://github.com/jamiepine/voicebox,2026-01-25T12:27:03Z,2026-06-10T19:59:06Z
JushBJJ/Mr.-Ranedeer-AI-Tutor,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.,29603,3304,,"['ai', 'education', 'gpt-4', 'llm']",https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,2023-03-31T12:37:26Z,2026-06-10T14:36:41Z
SillyTavern/SillyTavern,LLM Frontend for Power Users.,29171,5511,JavaScript,"['ai', 'chat', 'llm']",https://github.com/SillyTavern/SillyTavern,2023-02-09T10:19:24Z,2026-06-10T19:48:57Z
facefusion/facefusion,Industry leading face manipulation platform,28758,4689,Python,"['ai', 'deep-fake', 'deepfake', 'face-swap', 'faceswap', 'lip-sync', 'lipsync']",https://github.com/facefusion/facefusion,2023-08-17T19:59:55Z,2026-06-10T18:21:19Z
simstudioai/sim,"Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce.",28752,3656,TypeScript,"['agent-workflow', 'agentic-workflow', 'agents', 'ai', 'aiagents', 'anthropic', 'artificial-intelligence', 'automation', 'chatbot', 'deepseek', 'gemini', 'low-code', 'nextjs', 'no-code', 'openai', 'rag', 'react', 'typescript']",https://github.com/simstudioai/sim,2025-01-05T22:47:49Z,2026-06-10T20:20:09Z
ComposioHQ/composio,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",28715,4618,TypeScript,"['agentic-ai', 'agents', 'ai', 'ai-agents', 'aiagents', 'developer-tools', 'function-calling', 'gpt-4', 'javascript', 'js', 'llm', 'llmops', 'mcp', 'python', 'remote-mcp-server', 'sse', 'typescript']",https://github.com/ComposioHQ/composio,2024-02-23T13:58:27Z,2026-06-10T20:13:22Z
Gitlawb/openclaude,runs anywhere. uses anything,28560,8722,TypeScript,"['ai', 'ai-agent', 'ai-tools', 'cli', 'coding']",https://github.com/Gitlawb/openclaude,2026-04-01T03:15:49Z,2026-06-10T20:15:21Z
chroma-core/chroma,Search infrastructure for AI,28359,2310,Rust,"['agents', 'ai', 'ai-agents', 'database', 'rust', 'rust-lang']",https://github.com/chroma-core/chroma,2022-10-05T17:58:44Z,2026-06-10T18:24:04Z
e2b-dev/awesome-ai-agents,A list of AI autonomous agents,28241,2986,,"['agent', 'ai', 'artificial-intelligence', 'autogpt', 'autonomous-agents', 'awesome', 'babyagi', 'copilot', 'gpt', 'gpt-4', 'gpt-engineer', 'openai', 'python']",https://github.com/e2b-dev/awesome-ai-agents,2023-06-19T00:20:06Z,2026-06-10T19:57:01Z
